xAccl,yAccl,zAccl,time
5,38,1011,1742476861.9457011
4,44,1026,1742476861.9909976
2,45,1011,1742476862.0478978
0,42,1012,1742476862.0913677
-3,43,1014,1742476862.1494956
-3,42,1017,1742476862.2005322
-1,44,1016,1742476862.2416914
2,43,1011,1742476862.30283
0,43,1019,1742476862.3538876
1,38,1015,1742476862.405231
-4,39,1018,1742476862.4562235
-3,43,1012,1742476862.5071702
2,42,1015,1742476862.5567324
-1,45,1018,1742476862.606754
-1,43,1019,1742476862.660043
4,43,1019,1742476862.7070348
1,41,1021,1742476862.7574863
-2,40,1014,1742476862.8069878
-1,38,1016,1742476862.8645945
-1,40,1010,1742476862.915018
1,42,1012,1742476862.9576714
-1,38,1014,1742476863.0067496
-2,40,1016,1742476863.058317
0,44,1016,1742476863.1085677
-4,40,1012,1742476863.1568277
-4,41,1017,1742476863.2064273
-4,42,1015,1742476863.2723877
-1,45,1007,1742476863.3227646
0,42,1016,1742476863.374483
0,45,1013,1742476863.4248333
0,41,1017,1742476863.4757555
-2,40,1012,1742476863.5268795
-2,45,1019,1742476863.577653
0,41,1014,1742476863.629137
0,42,1004,1742476863.6801245
-4,43,1014,1742476863.730664
-3,39,1016,1742476863.7738945
-2,42,1011,1742476863.8234212
-2,44,1014,1742476863.8742132
1,43,1020,1742476863.9347897
-3,35,1022,1742476863.9735975
2,39,1015,1742476864.0232708
1,36,1013,1742476864.0876408
1,39,1018,1742476864.1390777
-3,42,1012,1742476864.189879
-1,44,1017,1742476864.2406933
0,41,1011,1742476864.2918727
2,40,1012,1742476864.3430696
-2,44,1014,1742476864.394152
0,43,1016,1742476864.4445393
-1,41,1013,1742476864.4960108
1,42,1014,1742476864.5454283
0,41,1018,1742476864.5975804
2,42,1013,1742476864.648635
1,41,1012,1742476864.6898313
-1,42,1013,1742476864.7511675
7,46,1016,1742476864.8016226
5,43,1012,1742476864.852924
0,41,1008,1742476864.904046
-1,42,1018,1742476864.9549677
3,43,1025,1742476865.0063713
-3,41,1016,1742476865.0563717
-1,38,1015,1742476865.1061099
1,45,1016,1742476865.1563883
-4,45,1016,1742476865.2096756
0,44,1016,1742476865.2609038
-1,39,1016,1742476865.3087034
-1,42,1008,1742476865.3567824
-3,44,1012,1742476865.4090383
-4,45,1011,1742476865.4567988
1,40,1016,1742476865.5092933
-3,43,1012,1742476865.560285
0,42,1014,1742476865.6107814
3,49,1018,1742476865.6689112
-2,44,1009,1742476865.7195687
0,43,1015,1742476865.7704763
2,45,1014,1742476865.821812
-1,39,1013,1742476865.8729417
1,42,1012,1742476865.9230156
1,43,1011,1742476865.9726655
-3,43,1014,1742476866.0230656
-1,41,1020,1742476866.075666
-1,37,1018,1742476866.127947
-1,43,1020,1742476866.1785355
